,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
11,18BTQ063,一般项目,图书馆、情报与文献学,基于典籍的中华传统文化知识表达体系自动构建方法研究,2018-06-21,何琳,正高级,南京农业大学,211高校,江苏,高等院校、其他学校,,,,,,,,,
12,18BTQ064,一般项目,图书馆、情报与文献学,基于科学与技术交叉模型的创新前沿识别方法与应用研究,2018-06-21,唐小利,正高级,北京协和医学院,,高校,高等院校、其他学校,,,,,,,,,
13,18BTQ065,一般项目,图书馆、情报与文献学,基于深度学习的学科领域网络学术情报发现研究,2018-06-21,王娟,副高级,广东外语外贸大学,,广东,高等院校、其他学校,,,,,,,,,
14,18BTQ066,一般项目,图书馆、情报与文献学,基于文本挖掘和机器学习的情境感知推荐方法研究,2018-06-21,史海燕,副高级,河北大学,,河北,高等院校、其他学校,,,,,,,,,
15,18BTQ067,一般项目,图书馆、情报与文献学,技术创新路径识别与预测的多元关系融合方法研究,2018-06-21,张娴,正高级,中国科学院成都文献情报中心,,四川,其他,,,,,,,,,
16,18BTQ068,一般项目,图书馆、情报与文献学,面向语义信息关联的网站信息偶遇机理的实证研究,2018-06-21,刘春茂,正高级,天津师范大学,,天津,高等院校、其他学校,,,,,,,,,
17,18BTQ069,一般项目,图书馆、情报与文献学,面向知识流分析的中文文本主题生成模型构建及应用研究,2018-06-21,马秀峰,正高级,曲阜师范大学,,山东,高等院校、其他学校,,,,,,,,,
18,18BTQ070,一般项目,图书馆、情报与文献学,社会科学科研数据的管理服务研究,2018-06-21,王丹丹,副高级,河南科技大学,,河南,高等院校、其他学校,,,,,,,,,
19,18BTQ071,一般项目,图书馆、情报与文献学,用户参与的网络动态信息组织模式研究,2018-06-21,王娜,副高级,郑州大学,211高校,河南,高等院校、其他学校,,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BTQ072,一般项目,图书馆、情报与文献学,中文学术领域命名实体的知识图谱构建研究,2018-06-21,王瑞云,中级,山西大学,,山西,高等院校、其他学校,,,,,,,,,
1,18BTQ073,一般项目,图书馆、情报与文献学,大数据环境下杰出人才画像构建与人才评价研究,2018-06-21,孔捷,正高级,南京理工大学,211高校,江苏,高等院校、其他学校,,,,,,,,,
2,18BTQ074,一般项目,图书馆、情报与文献学,负责任计量视角下科学评价方法与指标优化研究,2018-06-21,宋丽萍,正高级,天津师范大学,,天津,高等院校、其他学校,,,,,,,,,
3,18BTQ075,一般项目,图书馆、情报与文献学,基于用户行为动机的ALTMETRICS评价模型构建与实证研究,2018-06-21,余以胜,副高级,华南师范大学,211高校,广东,高等院校、其他学校,,,,,,,,,
4,18BTQ076,一般项目,图书馆、情报与文献学,基于知识发现的科研人员老龄化现象、演化规律及成因分析,2018-06-21,徐健,副高级,中山大学,985高校211高校,广东,高等院校、其他学校,,,,,,,,,
5,18BTQ077,一般项目,图书馆、情报与文献学,科学数据集的自组织模式和质量评价研究,2018-06-21,杨波,副高级,南京农业大学,211高校,江苏,高等院校、其他学校,,,,,,,,,
6,18BTQ078,一般项目,图书馆、情报与文献学,融合多维信息计量指标的人文社会科学代表性学术专著评价方法与实现机制研究,2018-06-21,姜春林,副高级,大连理工大学,985高校211高校,辽宁,高等院校、其他学校,,,,,,,,,
7,18BTQ079,一般项目,图书馆、情报与文献学,生命周期视角下论文学术影响的形成机理及测度模型研究,2018-06-21,韩瑞珍,中级,湖北第二师范学院,,湖北,高等院校、其他学校,,,,,,,,,
8,18BTQ080,一般项目,图书馆、情报与文献学,我国“五计学”融合与图书情报学的方法创新研究,2018-06-21,邱均平,正高级,杭州电子科技大学,,浙江,高等院校、其他学校,,,,,,,,,
9,18BTQ081,一般项目,图书馆、情报与文献学,虚拟学术社区中科研人员合作机制研究,2018-06-21,谭春辉,正高级,华中师范大学,211高校,湖北,高等院校、其他学校,,,,,,,,,
10,18BTQ082,一般项目,图书馆、情报与文献学,中国学者国际影响力评价研究,2018-06-21,徐佳宁,正高级,江苏师范大学,,江苏,高等院校、其他学校,,,,,,,,,
11,18BTQ083,一般项目,图书馆、情报与文献学,基于区块链的网络文件信任保障机制及应用架构研究,2018-06-21,付永贵,副高级,山西财经大学,,山西,高等院校、其他学校,,,,,,,,,
12,18BTQ084,一般项目,图书馆、情报与文献学,新型国家安全观下的个人数据保护研究,2018-06-21,相丽玲,正高级,山西大学,,山西,高等院校、其他学校,,,,,,,,,
13,18BTQ085,一般项目,图书馆、情报与文献学,大数据驱动下学术新媒体知识聚合及创新服务研究,2018-06-21,张向先,正高级,吉林大学,985高校211高校,吉林,高等院校、其他学校,,,,,,,,,
14,18BTQ086,一般项目,图书馆、情报与文献学,大众创新背景下产品用户虚拟社区的知识创新机理及其应用研究,2018-06-21,李旭光,副高级,华中师范大学,211高校,湖北,高等院校、其他学校,,,,,,,,,
15,18BTQ087,一般项目,图书馆、情报与文献学,科技成果转化的知识服务体系建设研究,2018-06-21,刘成华,副高级,成都信息工程大学,,四川,高等院校、其他学校,,,,,,,,,
16,18BTQ088,一般项目,图书馆、情报与文献学,认知视角下基于多源融合的个性化微阅读推荐模型研究,2018-06-21,武慧娟,副高级,东北电力大学,,吉林,高等院校、其他学校,,,,,,,,,
17,18BTQ089,一般项目,图书馆、情报与文献学,融合多源异构数据的科研人员画像构建及其应用研究,2018-06-21,窦永香,正高级,西安电子科技大学,211高校,陕西,高等院校、其他学校,,,,,,,,,
18,18BTQ090,一般项目,图书馆、情报与文献学,学习型搜索中用户交互行为与学习效果关系研究,2018-06-21,刘畅,副高级,北京大学,985高校211高校,高校,高等院校、其他学校,,,,,,,,,
19,18BTQ091,一般项目,图书馆、情报与文献学,20世纪以来欧美档案思想研究,2018-06-21,曲春梅,副高级,山东大学,985高校211高校,山东,高等院校、其他学校,,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BTQ092,一般项目,图书馆、情报与文献学,大数据背景下档案数据管理理论重构、技术选优与实践创新研究,2018-06-21,于英香,正高级,上海大学,211高校,上海,高等院校、其他学校,,,,,,,,,
1,18BTQ093,一般项目,图书馆、情报与文献学,档案大数据战略及实现路径研究,2018-06-21,向立文,正高级,湘潭大学,,湖南,高等院校、其他学校,,,,,,,,,
2,18BTQ094,一般项目,图书馆、情报与文献学,非物质文化遗产档案资源建设政策引导策略研究,2018-06-21,王巧玲,副高级,北京联合大学,,北京,高等院校、其他学校,,,,,,,,,
3,18BTQ095,一般项目,图书馆、情报与文献学,基于国家认同视阈的家族档案研究,2018-06-21,张全海,副高级,中国人民大学,985高校211高校,高校,高等院校、其他学校,,,,,,,,,
4,18BTQ096,一般项目,图书馆、情报与文献学,近代文书档案改革与行政效率的互动研究（1860—1949）,2018-06-21,李章程,副高级,湖州师范学院,,浙江,高等院校、其他学校,,,,,,,,,
5,18BTQ097,一般项目,图书馆、情报与文献学,社交媒体视阈下档案公共服务及其实现机制研究,2018-06-21,罗宝勇,中级,南昌大学,211高校,江西,高等院校、其他学校,,,,,,,,,
6,18BTQ098,一般项目,图书馆、情报与文献学,数字时代档案文献编纂与成果利用研究,2018-06-21,宋雪雁,副高级,吉林大学,985高校211高校,吉林,高等院校、其他学校,,,,,,,,,
7,18BTQ099,一般项目,图书馆、情报与文献学,文化自信背景下国家档案精品走出去策略研究,2018-06-21,王小云,中级,福建师范大学,,福建,高等院校、其他学校,,,,,,,,,
8,18BTQ100,一般项目,图书馆、情报与文献学,新时代民生档案资源共享促进国民幸福指数提升的策略研究,2018-06-21,谢小红,正高级,湖南第一师范学院,,湖南,高等院校、其他学校,,,,,,,,,
9,18BTQ101,一般项目,图书馆、情报与文献学,新时代少数民族民间档案文化遗产保护传承研究,2018-06-21,饶圆,中级,广西民族大学,,广西,高等院校、其他学校,,,,,,,,,
10,18BTQ102,一般项目,图书馆、情报与文献学,总体国家安全观下档案风险治理研究,2018-06-21,朱兰兰,副高级,郑州航空工业管理学院,,河南,高等院校、其他学校,,,,,,,,,
11,18XTQ001,西部项目,图书馆、情报与文献学,近代以来甘肃图书馆事业发展史研究,2018-06-21,陈军,正高级,甘肃省图书馆,,甘肃,其他,,,,,,,,,
12,18XTQ002,西部项目,图书馆、情报与文献学,“一带一路”中国—东盟传统医药文献资源战略保障体系研究,2018-06-21,黄刚,副高级,广西中医药大学,,广西,高等院校、其他学校,,,,,,,,,
13,18XTQ003,西部项目,图书馆、情报与文献学,广西儒学文献的整理与研究,2018-06-21,孙先英,正高级,广西大学,211高校,广西,高等院校、其他学校,,,,,,,,,
14,18XTQ004,西部项目,图书馆、情报与文献学,简牍数学文献集成及校释,2018-06-21,周序林,副高级,西南民族大学,,四川,高等院校、其他学校,,,,,,,,,
15,18XTQ005,西部项目,图书馆、情报与文献学,敦煌类书与相关传世文献比较研究,2018-06-21,高天霞,副高级,河西学院,,甘肃,高等院校、其他学校,,,,,,,,,
16,18XTQ006,西部项目,图书馆、情报与文献学,贵州珍稀地方文学文献整理研究,2018-06-21,秦越,副高级,黔南民族师范学院,,贵州,高等院校、其他学校,,,,,,,,,
17,18XTQ007,西部项目,图书馆、情报与文献学,存世宁夏旧方志数字化整理研究,2018-06-21,张玉梅,副高级,宁夏社会科学院,,宁夏,省、市社会科学院,,,,,,,,,
18,18XTQ008,西部项目,图书馆、情报与文献学,西北古代书法教育史料整理与研究,2018-06-21,米文佐,副高级,兰州城市学院,,甘肃,高等院校、其他学校,,,,,,,,,
19,18XTQ009,西部项目,图书馆、情报与文献学,保安族文献资料数据库的建设研究,2018-06-21,马福兰,副高级,青海师范大学,,青海,高等院校、其他学校,,,,,,,,,
